Active Ingredient,Trade Name,AUST R,Expected Supply,Availability,Management Action,Updated
metformin hydrochloride,DIAFORMIN VIATRIS metformin hydrochloride 1000mg film-coated tablet blister pack,AUST R: 206735,Expected supply: 30 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
entecavir,ENTECAVIR VIATRIS entecavir (as monohydrate) 0.5 mg film coated tablets blister pack,AUST R: 220090,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
gabapentin,NUPENTIN 300 gabapentin 300 mg capsule blister pack,AUST R: 101696,Expected supply: 25 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 27-03-2025
metformin hydrochloride,DIAFORMIN 1000 metformin hydrochloride 1000 mg  tablet blister pack,AUST R: 82207,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
risperidone,RIXADONE risperidone 1 mg film coated tablet blister pack,AUST R: 199178,Expected supply: 11 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
felypressin,3% CITANEST DENTAL WITH OCTAPRESSIN 2.2mL injection cartridge,AUST R: 220320,Expected supply: 10 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment,Updated 27-03-2025
adrenaline (epinephrine) acid tartrate,"2% XYLOCAINE DENTAL WITH ADRENALINE 1:80,000 2.2mL injection cartridge",AUST R: 12024,Expected supply: 10 Apr 2025,Availability: Limited Availability,Management action: Sponsor is closely controlling the supply,Updated 27-03-2025
atorvastatin calcium trihydrate,LORSTAT 40 atorvastatin (as calcium trihydrate) 40 mg tablets bottle,AUST R: 334867,Expected supply: 22 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
naproxen,INZA 500 naproxen 500 mg tablet bottle,AUST R: 40929,Expected supply: 16 May 2025,Availability: Unavailable,Management action: The sponsor is closely controlling the supply. An alternative strength is available.,Updated 27-03-2025
clomipramine hydrochloride,PLACIL clomipramine hydrochloride 25mg tablet blister pack,AUST R: 143879,Expected supply: 07 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 27-03-2025
capecitabine,XELABINE capecitabine 500 mg film-coated tablet blister pack,AUST R: 213045,Expected supply: 11 Apr 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment.,Updated 27-03-2025
dexmedetomidine hydrochloride,DEXMEDETOMIDINE VIATRIS dexmedetomidine (as hydrochloride) 200 microgram/2 mL concentrated injection vial,AUST R: 271410,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 27-03-2025
clopidogrel hydrogen sulfate,PIAX clopidogrel (as hydrogen sulfate) 75mg film-coated tablet bottle,AUST R: 168926,Expected supply: 30 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 27-03-2025
venlafaxine,ENLAFAX-XR venlafaxine 75mg modified release capsule blister pack,AUST R: 143533,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 27-03-2025
oxycodone hydrochloride,OXYCODONE BNM oxycodone hydrochloride 20mg capsule blister pack,AUST R: 227841,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: An alternative brand is available.,Updated 26-03-2025
ezetimibe,EZALO Composite Pack 10mg+10mg ezetimibe 10mg tablets and rosuvastatin (as calcium) 10mg tablets composite pack,AUST R: 203689,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 26-03-2025
oxycodone hydrochloride,OXYCODONE BNM oxycodone hydrochloride 10mg capsule blister pack,AUST R: 227833,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: An alternative brand is available.,Updated 26-03-2025
fluorouracil,FLUOROURACIL EBEWE fluorouracil 5000 mg/100 mL solution for injection vial,AUST R: 166741,Expected supply: 30 May 2025,Availability: Unavailable,"Management action: An unregistered product has been approved for supply under Section 19A. The approval holder, Medsurge Healthcare Pty Ltd can be contacted for details on supply on 1300 788 261.",Updated 26-03-2025
gentamicin sulfate,GENTAMICIN NORIDEM gentamicin (as sulfate) 80 mg/2 mL solution for injection ampoule,AUST R: 391250,Expected supply: 15 Apr 2025,Availability: Limited Availability,"Management action: There is limited availability of GENTAMICIN NORIDEM 80 mg/2 mL (ARTG - 391250) and supply is constrained at the wholesaler level for contracted customers. Interpharma is working to expedite the next shipment and support all customers nationally. An unregistered product has been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 26-03-2025
letrozole,PHARMACOR LETROZOLE 2.5 letrozole 2.5 mg film-coated tablet blister pack,AUST R: 159589,Expected supply: 07 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 26-03-2025
pramipexole dihydrochloride monohydrate,SIMPRAL pramipexole dihydrochloride monohydrate 0.125 mg tablet blister pack,AUST R: 173139,Expected supply: 11 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 26-03-2025
ethinylestradiol,NORIMIN 28 day tablet blister pack,AUST R: 62133,Expected supply: 30 Apr 2025,Availability: Unavailable,Management action: The sponsor is closely controlling supply and working to expedite the next shipment.,Updated 26-03-2025
pramipexole dihydrochloride monohydrate,APO-PRAMIPEXOLE pramipexole dihydrochloride monohydrate 0.125 mg tablet blister pack,AUST R: 227666,Expected supply: 25 Jul 2025,Availability: Limited Availability,Management action: The sponsor is working to expedite the next shipment. Alternative generic products are available.,Updated 26-03-2025
iopromide,ULTRAVIST-240 iopromide 49.872g/100mL injection bottle,AUST R: 76908,Expected supply: 18 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 26-03-2025
emtricitabine,CIPLA TENOFOVIR + EMTRICITABINE 300/200 Tenofovir disoproxil fumarate 300 mg and emtricitabine 200 mg tablet bottle pack,AUST R: 327898,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: An unregistered product has been approved for supply under Section 19A. The approval holder Phero Pharma Pty Ltd can be contacted on 1800 720 020 for enquiries about supply.,Updated 26-03-2025
thiotepa,TEPADINA thiotepa 400 mg powder for injection and solvent dual chamber infusion bag,AUST R: 370354,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: Other strengths are available.,Updated 25-03-2025
thiotepa,TEPADINA thiotepa 100 mg powder for injection vial,AUST R: 370353,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 25-03-2025
thiotepa,TEPADINA thiotepa 15 mg powder for injection vial,AUST R: 370352,Expected supply: 30 Jun 2025,Availability: Unavailable,Management action: An alternative generic product is available.,Updated 25-03-2025
trihexyphenidyl (benzhexol) hydrochloride,ARTANE 5mg trihexyphenidyl (benzhexol) hydrochloride 5mg tablet bottle,AUST R: 15126,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite next shipment.,Updated 25-03-2025
olanzapine,PRYZEX olanzapine 5 mg tablet  blister pack,AUST R: 335102,Expected supply: 23 May 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 25-03-2025
clopidogrel hydrogen sulfate,"CLOPIDOGREL LUPIN, clopidogrel (as hydrogen sulfate) 75 mg, film coated tablets, blister pack",AUST R: 376880,Expected supply: 25 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 25-03-2025
pemetrexed disodium,PEMETREXED ACCORD pemetrexed (as disodium) 1000 mg powder for injection vial,AUST R: 222419,Expected supply: 30 Jun 2025,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment.,Updated 25-03-2025
lorazepam,LORAZEPAM LUPIN lorazepam 2.5 mg tablet blister pack,AUST R: 389602,Expected supply: 18 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 25-03-2025
ondansetron,APX-ONDANSETRON ODT ondansetron 8 mg orally disintegrating tablets blister pack,AUST R: 196809,Expected supply: 16 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 25-03-2025
venlafaxine hydrochloride,VENLAFAXINE GENERICHEALTH XR venlafaxine (as hydrochloride) 75mg modified release capsule blister,AUST R: 151884,Expected supply: 28 Nov 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 25-03-2025
methotrexate,METHOTREXATE ACCORD methotrexate 1000mg/10mL injection vial,AUST R: 213737,Expected supply: 30 Apr 2025,Availability: Unavailable,"Management action: The sponsor is working to expedite next shipment. An alternative generic product is available. An unregistered product has also been approved for supply under Section 19A. The approval holder, ORSPEC Pharma Pty Ltd, can be contacted for details on supply on 02 4339 4239.",Updated 24-03-2025
dydrogesterone,FEMOSTON 2/10 estradiol 2mg and estradiol 2mg with dydrogesterone 10mg tablet blister pack composite pack,AUST R: 75889,Expected supply: 11 Apr 2025,Availability: Unavailable,Management action: Sponsor is working to expedite the next shipment.,Updated 24-03-2025
hydroxocobalamin chloride,HYDROXO-B12 hydroxocobalamin chloride 1mg/1mL injection ampoule,AUST R: 161606,Expected supply: 07 Apr 2025,Availability: Unavailable,Management action: Alternative generic products are available.,Updated 24-03-2025
permethrin,LYCLEAR SCABIES CREAM,AUST R: 46343,Expected supply: 30 Jun 2025,Availability: Limited Availability,"Management action: The published shortage information for this medicine reflects its recent inclusion in the reportable medicines determination. For more information, refer to the Federal Register of Legislation - Therapeutic Goods (Reportable Medicines) Determination 2025.

An unregistered product has been approved for supply under Section 19A. The approval holder, Reach Pharmaceuticals Pty Ltd can be contacted for details on supply on 0422 429 648.",Updated 24-03-2025
metformin hydrochloride,METFORMIN GH metformin hydrochloride 500 mg tablet blister pack,AUST R: 284971,Expected supply: 09 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available,Updated 24-03-2025
morphine hydrochloride trihydrate,ORDINE morphine hydrochloride trihydrate 10mg/mL oral solution bottle,AUST R: 150222,Expected supply: 01 May 2025,Availability: Unavailable,Management action: Unregistered products have been approved for supply under Section 19A. See the TGA web alert: https://www.tga.gov.au/safety/shortages/information-about-major-medicine-shortages/about-shortage-ordine-morphine-oral-liquid,Updated 21-03-2025
minocycline hydrochloride dihydrate,AKAMIN 50 minocycline (as hydrochloride) 50mg tablet bottle,AUST R: 70852,Expected supply: 11 Jul 2025,Availability: Limited Availability,Management action: An alternative brand is available,Updated 21-03-2025
tamoxifen citrate,GENOX 20 tamoxifen 20mg (as citrate) tablet blister pack,AUST R: 40065,Expected supply: 30 Jul 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 21-03-2025
esomeprazole,NOXICID CAPS esomeprazole 20mg (as magnesium) enteric capsule bottle,AUST R: 246914,Expected supply: 02 May 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 21-03-2025
olanzapine,ZYPINE olanzapine 7.5 mg tablet blister pack,AUST R: 154621,Expected supply: 29 Apr 2025,Availability: Limited Availability,Management action: Alternative generic products are available.,Updated 21-03-2025
prazosin hydrochloride,MINIPRESS prazosin 1 mg (as hydrochloride) tablet blister pack,AUST R: 10756,Expected supply: 31 Jan 2026,Availability: Limited Availability,Management action: Sponsor is working to expedite the next shipment. An alternative strength is available.,Updated 20-03-2025
